Section,Testpoint,Description
Comm1,TP31,A_CONTROL485
Comm1,TP32,B_CONTROL485
Comm1,TP39,CONTROL485_DE
Comm1,TP45,CONTROL485_RX
Comm1,TP46,CONTROL485_TX
Control,TP49,ESP1_RST
Control,TP68,PROG1_SEL
Control,TP58,PROG1_RX
Control,TP67,PROG1_TX
Control,TP56,BMS_TX_DIM
Control,TP66,BMS_RX_DIM
Control,TP57,BMS_EN_DIM
Control,TP65,CONTROL485_EN
Control,TP54,PWM0
Control,TP64,LED_2_STATUS
Control,TP55,CONTROL485_TX
Control,TP60,CONTROL485_RX
Control,TP53,IO_SDA
Control,TP61,IO_SCL
Control,TP52,IO_INT
Control,TP62,ANALOG_DAC_DO
CTA2045,TP194,RS485+_ISO
CTA2045,TP195,RS485-_ISO
DigitalIn_0,TP70,ESTOP_CONN
DigitalIn_0,TP74,ESTOP
DigitalIn_0,TP93,COMP_FB_CONN
DigitalIn_0,TP81,COMP_FB
DigitalIn_0,TP84,FAN_CONT_CONN
DigitalIn_0,TP87,FAN_FB
DigitalIn_0,TP69,CURR_SWITCH_CONN
DigitalIn_0,TP73,RES_DI_2
DigitalIn_0,TP77,BLOW_START_CONN
DigitalIn_0,TP80,BLOW_FB
DigitalIn_0,TP83,COMP_FLT_CONN
DigitalIn_0,TP86,COMP_MPM
DigitalIn_0,TP71,OIL_SWITCH_CONN_IN
DigitalIn_0,TP75,OIL_SWITCH_CONN
DigitalIn_0,TP79,COMP_OVLD_CONN
DigitalIn_0,TP82,COMP_OVLD
DigitalIn_0,TP85,BOOST_BLOW_OUT_CONN
DigitalIn_0,TP88,BOOST_FB
DigitalIn_0,TP72,RES_DIG1_CONN
DigitalIn_0,TP76,RES_DIG1
DigitalOut_0,TP89,COMP_SFTY
DigitalOut_0,TP93,COMP_SFTY_N1
DigitalOut_0,TP96,COMP_SFTY_N2
DigitalOut_0,TP103,COMP_SFTY_N3
DigitalOut_0,TP105,COMP_SFTY_N4
DigitalOut_0,TP91,COMP
DigitalOut_0,TP95,COMP_N1
DigitalOut_0,TP101,COMP_N2
DigitalOut_0,TP104,COMP_N3
DigitalOut_0,TP106,COMP_N4
Nyle Cloud Interface,TP193,ESP_SEL
Nyle Cloud Interface,TP172,PROG_RX
Nyle Cloud Interface,TP182,METER_REST
Nyle Cloud Interface,TP173,PROG_TX
Nyle Cloud Interface,TP183,METER_CS
Nyle Cloud Interface,TP174,PHY_RST
Nyle Cloud Interface,TP184,MISO
Nyle Cloud Interface,TP175,MOSI
Nyle Cloud Interface,TP185,SCLK
Nyle Cloud Interface,TP176,SCL_CRYPTO
Nyle Cloud Interface,TP186,SDA_CRYPTO
Nyle Cloud Interface,TP177,RMII_REF_CLK
Nyle Cloud Interface,TP187,PHY_MDIO
Nyle Cloud Interface,TP178,RMII_TXD0
Nyle Cloud Interface,TP188,RMII_TX_EN
Nyle Cloud Interface,TP179,RMII_TXD1
Nyle Cloud Interface,TP189,PHY_MDC
Nyle Cloud Interface,TP180,RMII_RXD0
Nyle Cloud Interface,TP190,RMII_RXD1
Nyle Cloud Interface,TP170,RMII_CRS_DV
Nyle Cloud Interface,TP191,CTA2045_TX
Nyle Cloud Interface,TP171,IOT_COMM_TX
Nyle Cloud Interface,TP192,CTA2045_RX
Nyle Cloud Interface,TP181,IOT_COMM_RX
Nyle Cloud Interface,TP161,ESP_RST
Power,TP198,L_24VAC
Power,TP199,N_24VAC
Power,TP200,GND
Power,TP201,24VDC_UNREG
Power,TP204,+12VDC
Power,TP197,+3.3VDC
Power,TP196,GND
Power,TP202,+5VDC
Power,TP203,GND
MUX Control,TP233,MUX1_S0
MUX Control,TP234,MUX1_S1
MUX Control,TP235,MUX1_S2
MUX Control,TP236,MUX1_S3
MUX Control,TP146,MUX2_S0
MUX Control,TP168,MUX2_S1
MUX Control,TP231,MUX2_S2
MUX Control,TP232,MUX2_S3
Analog_1,TP1,DIS_PRESS+
Analog_1,TP2,DIS_PRESS-
Analog_1,TP7,DIS_PRESS_AMP+
Analog_1,TP8,DIS_PRESS_AMP-
